[label]	uniprot	disease_label
Tyrosine-protein kinase jak1	P23458	polycythemia vera
Tyrosine-protein kinase jak2	O60674	Budd-Chiari syndrome
Tyrosine-protein kinase jak2	O60674	hemorrhagic disease
Tyrosine-protein kinase receptor tyro3	Q06418	enamel erosion
Tyrosine-protein kinase transmembrane receptor ror2	Q01974	brachydactyly
Vascular endothelial growth factor receptor 1	P17948	cancer
Vascular endothelial growth factor receptor 1	P17948	hypertension
Vascular endothelial growth factor receptor 2	P35968	malaria
Vascular endothelial growth factor receptor 2	P35968	cancer
Vascular endothelial growth factor receptor 3	P35916	lymphedema
Vascular endothelial growth factor receptor 3	P35916	cancer
Vasoactive intestinal polypeptide receptor 1	P32241	shigellosis
Vasopressin V2 receptor	P30518	kidney disease
Vasopressin V2 receptor	P30518	inappropriate ADH syndrome
Vasopressin v1a receptor	P37288	autistic disorder
Vitamin d3 receptor	P11473	cancer
Vitamin d3 receptor	P11473	osteoporosis
Vitamin d3 receptor	P11473	hypercalcemia
Vitamin d3 receptor	P11473	alopecia
Vitamin d3 receptor	P11473	hyperparathyroidism
Voltage-dependent L-type calcium channel subunit alpha-1C	Q13936	bipolar disorder
Voltage-dependent L-type calcium channel subunit alpha-1C	Q13936	schizophrenia
Voltage-dependent L-type calcium channel subunit alpha-1F	O60840	Aland Island eye disease
Voltage-dependent calcium channel gamma-3 subunit	O60359	childhood absence epilepsy
Voltage-dependent l-type calcium channel subunit alpha-1d	Q01668	Conn's syndrome
Voltage-dependent l-type calcium channel subunit alpha-1s	Q13698	hyperkalemic periodic paralysis
Voltage-dependent p/q-type calcium channel subunit alpha-1a	O00555	cerebellar ataxia
Voltage-dependent p/q-type calcium channel subunit alpha-1a	O00555	hemiplegia
Voltage-dependent p/q-type calcium channel subunit alpha-1a	O00555	migraine
Voltage-gated potassium channel subunit beta-2	Q13303	chromosome 1p36 deletion syndrome
Wee1-like protein kinase 2	P0C1S8	Western equine encephalitis
